FileName,Effective Date,Admin Fee,Services,DataFee,Notes
MMCAP_Tenth_FFF Enterprises Add_Purchase Agreement_Fully Executed 9.6.2024.pdf,"September 3, 2024",,Perform Other Administrative Functions,,
MMCAP_Third Amendmnt PPA_new NDC_fully executed_1.8.2022.pdf,,,,,
MMCAP_Thirteenth_Vimkunya Add_Purchase Agreement_Fully Executed 6.12.2025.pdf,,,Perform Other Administrative Functions,,
PBG_First Amend to PA_Product Addd_Fully Executed_7.14.2025.pdf,"July 14, 2025",,,,
PBG_Purchase Agreement_fully executed_1.1.2023.pdf,"January 1, 2023",3%,Contract Performance Tool; Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Process and Report Rebates; Provide Member Communication; Provide Membership List; Track Member Performance; Eblast Contract Updates,,
Premier GPO_Purchase Agreement_fully executed_11.1.2020 (2).pdf,"November 1, 2020",3%,Administer Rebate Program; Business Review Meetings; Contract Performance Tool; Create Contract Summary; Data Portal Access; Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Post Company Logo on Website; Process and Report Rebates; Provide Member Communication; Provide Membership List; Provide Product Training/Education; Track Member Performance; Eblast Contract Updates,,
Premier PPPH21BVN01_Amd 6_Extension to 2025_2.1.2022.pdf,"February 01, 2022",3%,Provide Membership List,,
Premier_ PPPH25BVN01_Purchase Agreement_7.1.2025.pdf,"July 1, 2025",3%,Administer Rebate Program; Business Review Meetings; Contract Performance Tool; Data Portal Access; Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Post Company Logo on Website; Process and Report Rebates; Promotional Allowance; Provide Member Communication; Provide Membership List; Provide Product Training/Education; Track Member Performance; Eblast Contract Updates,,
Premier_Amd 13_Add Vivotif Rebate_9.2024.pdf,"September 10, 2024",3%,Administer Rebate Program; Facilitate Designated Wholesaler Pricing; Monitor Compliance Obligations; Process and Report Rebates; Provide Membership List; Track Member Performance,,
Premier_Amd 14_VimkunyaAdd__PPPH21BVN01_6.1.2025.pdf,"June 1, 2025",,,,
Premier_PPPH21BVN01_Amd 6 & 7_Viv-Vax ProdAdd_20231117.pdf,"November 01, 2020",,Provide Membership List,,
Premier_PPPH21BVN01_Amd_10_Jynneos ProdAdd__20240401.pdf,,,,,
Premier_PPPH21BVN01_Notice 8 (not 9 per Premier)_Rab Price Incr_20240101.pdf,"January 01, 2024",,,,
Premier_PPPH21BVN01_Notice 9 (not 10 per Premier)_GSK NDC Delete-Rabavert__20240601.pdf,"June 01, 2022",,,,
Premier_Vivotif and Vaxchora Product Detail_2023.7.11.pdf,,,,,
The Resource Group (TRG)_Master Purchase Agreement_fully executed_4.1.2023.pdf,"April 1, 2023",3%,Administer Rebate Program; Business Review Meetings; Contract Performance Tool; Create Contract Summary; Data Portal Access; Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Post Company Logo on Website; Process and Report Rebates; Provide Member Communication; Provide Membership List; Provide Product Training/Education; Track Member Performance,,
The Resource Group_BAVAR 0130339_Amdmnt 001_ProductAdd_7.15.2024.pdf,,,Perform Other Administrative Functions; Provide Membership List,,
The Resource Group_BAVAR 0130339_Amdmnt 002_AuthDistr Add_11.1.2024.pdf,"November 1, 2024",,,,
USPPG_Product Purchase Agreemnt_fully executed_8.1.2020 (1).pdf,"December 31, 2024",,Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Process and Report Rebates; Provide Member Communication; Provide Membership List; Track Member Performance,,
Vizient PAG_Amendment_Add RxC Network_5.15.2024.pdf,"May 15, 2024",,,,
Vizient PAG_Base Agrmnt Addendum_Rebate Agreement_fully executed_2.1.2023.pdf,"February 1, 2023",,Create Contract Summary; Data Portal Access; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Process and Report Rebates; Provide Membership List; Eblast Contract Updates,,
VizientPAG_RX5880AA_Amendment to Addendum_End PAG Rebate-85%Mkt Share Requ_ 4.1.25.pdf,"April 1, 2025",,Administer Rebate Program; Contract Performance Tool; Data Portal Access; Dispute Resolution; Facilitate Designated Wholesaler Pricing,,
Vizient_Base Agreement Amendment_add Jynneos_fully executed 2.29.2024.pdf,,,,,
Vizient_Base Agreement Amendment_add Vimkunya_3.24.2025.pdf,"March 24, 2025",,,,
Vizient_Base Agreement Amendment_add ViVax_fully executed_7.24.2023.pdf,,,,,
Vizient_Base Agreement Amndmnt_Extension & Price Change Clause_5.15.2025.pdf,"May 15, 2025",,,,
Vizient_Base Agreement Amndmnt_Vimkunya NDC correction_3.24.2025.pdf,"March 24, 2025",,,,
Vizient_Docusign Summary_Base Agmnt Amendmnt_7.24.2023.pdf,,,Data Portal Access; Eblast Contract Updates,,
Vizient_Jynneos Amendment_4.1.2024.pdf,,,,,
Vizient_Pharmacy Supplier Agreement_Base Agrmnt_fully executed_8.15.2021.pdf,"August 15, 2021",3%,Business Review Meetings; Contract Performance Tool; Data Portal Access; Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Process and Report Rebates; Provide Member Communication; Provide Membership List; Track Member Performance; Eblast Contract Updates,,
Caremark Commercial Master Agreement 10.1.15.pdf,"October 1, 2015",4.00%,Administer Rebate Program; Business Review Meetings; Contract Performance Tool; Data Portal Access; Dispute Resolution; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Process and Report Rebates; Provide Member Communication; Provide Membership List; Track Member Performance,,
ESI Commercial Master 1.1.15.pdf,"January 1, 2015",,Administer Rebate Program; Business Review Meetings; Contract Performance Tool; Data Portal Access; Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Post Company Logo on Website; Process and Report Rebates; Provide Membership List; Provide Product Training/Education; Track Member Performance,,
FINAL.Akebia.AHS.Rebate Agreement.pdf,"August 1, 2019",3.0%,Administer Rebate Program; Business Review Meetings; Contract Performance Tool; Data Portal Access; Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Post Company Logo on Website; Process and Report Rebates; Provide Member Communication; Provide Membership List; Provide Product Training/Education; Track Member Performance,,
Optum Commercial Master 10.1.15.pdf,"October 1, 2015",3%,Administer Rebate Program; Business Review Meetings; Contract Performance Tool; Data Portal Access; Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Process and Report Rebates; Provide Membership List; Eblast Contract Updates,,
Zinc - Akebia PBM Rebate Agreement FINAL_FE.pdf,"October 1, 2021",4.00%,Administer Rebate Program; Business Review Meetings; Contract Performance Tool; Data Portal Access; Dispute Resolution; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Post Company Logo on Website; Process and Report Rebates; Provide Member Communication; Provide Membership List,1.00%,
